analysis_set,station_id,balanced_per_condition,metric,metric_label,effect_scale,ce_value,comparison_value,effect
unrestricted,ST11,6,duration_min,Median observed trajectory minutes,median_ratio,6.241725000000001,1.1063333333333332,5.641812292859297
unrestricted,ST11,6,completed_substantive_actions,Median completed substantive actions,median_ratio,5.0,2.0,2.5
unrestricted,ST11,6,min_per_action,Median minutes per completed substantive action,median_ratio,1.4370283333333334,0.4594833333333333,3.1274873952627953
unrestricted,ST13,126,verification_successful,Completed-successful verification call,risk_difference,0.29365079365079366,0.18253968253968253,0.11111111111111113
unrestricted,ST13,126,audit_signal,Audit-stage prompt signal,risk_difference,0.5079365079365079,0.09523809523809523,0.4126984126984127
unrestricted,ST13,126,remediation_signal,Remediation-stage prompt signal,risk_difference,0.3412698412698413,0.06349206349206349,0.2777777777777778
unrestricted,ST13,126,packaging_release_signal,Packaging/release-stage prompt signal,risk_difference,0.19047619047619047,0.007936507936507936,0.18253968253968253
unrestricted,ST13,126,multistage_signal,At least two distinct stage prompt signals,risk_difference,0.6746031746031746,0.07142857142857142,0.6031746031746033
unrestricted,ST13,126,grounded_decision_trace,Grounded-decision trace proxy,risk_difference,0.36507936507936506,0.05555555555555555,0.30952380952380953
unrestricted,ST13,126,duration_min,Median observed trajectory minutes,median_ratio,5.382883333333333,4.115375,1.3079933987384704
unrestricted,ST13,126,completed_substantive_actions,Median completed substantive actions,median_ratio,6.0,7.0,0.8571428571428571
unrestricted,ST13,126,min_per_action,Median minutes per completed substantive action,median_ratio,0.3356197112366604,0.5842416666666667,0.574453570132212
primary_frontloaded,ST00,325,verification_successful,Completed-successful verification call,risk_difference,0.38461538461538464,0.28,0.10461538461538461
primary_frontloaded,ST00,325,audit_signal,Audit-stage prompt signal,risk_difference,0.4584615384615385,0.16923076923076924,0.28923076923076924
primary_frontloaded,ST00,325,remediation_signal,Remediation-stage prompt signal,risk_difference,0.2123076923076923,0.06153846153846154,0.15076923076923077
primary_frontloaded,ST00,325,packaging_release_signal,Packaging/release-stage prompt signal,risk_difference,0.18153846153846154,0.024615384615384615,0.15692307692307692
primary_frontloaded,ST00,325,multistage_signal,At least two distinct stage prompt signals,risk_difference,0.556923076923077,0.027692307692307693,0.5292307692307693
primary_frontloaded,ST00,325,grounded_decision_trace,Grounded-decision trace proxy,risk_difference,0.49538461538461537,0.10461538461538461,0.39076923076923076
primary_frontloaded,ST00,325,duration_min,Median observed trajectory minutes,median_ratio,4.04035,2.1306,1.8963437529334461
primary_frontloaded,ST00,325,completed_substantive_actions,Median completed substantive actions,median_ratio,6.0,4.0,1.5
primary_frontloaded,ST00,325,min_per_action,Median minutes per completed substantive action,median_ratio,0.4907333333333333,0.4682,1.0481275808059234
primary_frontloaded,ST01,528,verification_successful,Completed-successful verification call,risk_difference,0.5227272727272727,0.3503787878787879,0.1723484848484848
primary_frontloaded,ST01,528,audit_signal,Audit-stage prompt signal,risk_difference,0.6458333333333334,0.15151515151515152,0.4943181818181819
primary_frontloaded,ST01,528,remediation_signal,Remediation-stage prompt signal,risk_difference,0.38636363636363635,0.10416666666666667,0.28219696969696967
primary_frontloaded,ST01,528,packaging_release_signal,Packaging/release-stage prompt signal,risk_difference,0.2196969696969697,0.017045454545454544,0.20265151515151514
primary_frontloaded,ST01,528,multistage_signal,At least two distinct stage prompt signals,risk_difference,0.7708333333333334,0.0625,0.7083333333333334
primary_frontloaded,ST01,528,grounded_decision_trace,Grounded-decision trace proxy,risk_difference,0.5340909090909091,0.09659090909090909,0.4375
primary_frontloaded,ST01,528,duration_min,Median observed trajectory minutes,median_ratio,3.9101,3.043283333333333,1.2848294331232168
primary_frontloaded,ST01,528,completed_substantive_actions,Median completed substantive actions,median_ratio,8.0,5.0,1.6
primary_frontloaded,ST01,528,min_per_action,Median minutes per completed substantive action,median_ratio,0.385823615136876,0.5164166666666666,0.7471168923095873
primary_frontloaded,ST02,325,verification_successful,Completed-successful verification call,risk_difference,0.5169230769230769,0.28615384615384615,0.23076923076923078
primary_frontloaded,ST02,325,audit_signal,Audit-stage prompt signal,risk_difference,0.5815384615384616,0.12307692307692308,0.4584615384615385
primary_frontloaded,ST02,325,remediation_signal,Remediation-stage prompt signal,risk_difference,0.5415384615384615,0.08615384615384615,0.4553846153846154
primary_frontloaded,ST02,325,packaging_release_signal,Packaging/release-stage prompt signal,risk_difference,0.20307692307692307,0.006153846153846154,0.19692307692307692
primary_frontloaded,ST02,325,multistage_signal,At least two distinct stage prompt signals,risk_difference,0.7630769230769231,0.06153846153846154,0.7015384615384616
primary_frontloaded,ST02,325,grounded_decision_trace,Grounded-decision trace proxy,risk_difference,0.5107692307692308,0.08923076923076922,0.42153846153846153
primary_frontloaded,ST02,325,duration_min,Median observed trajectory minutes,median_ratio,9.899216666666666,4.052033333333333,2.4430244897623417
primary_frontloaded,ST02,325,completed_substantive_actions,Median completed substantive actions,median_ratio,12.0,5.0,2.4
primary_frontloaded,ST02,325,min_per_action,Median minutes per completed substantive action,median_ratio,0.5392673758865248,0.7235416666666666,0.7453162695811458
primary_frontloaded,ST04,4,verification_successful,Completed-successful verification call,risk_difference,0.25,0.0,0.25
primary_frontloaded,ST04,4,audit_signal,Audit-stage prompt signal,risk_difference,0.25,0.0,0.25
primary_frontloaded,ST04,4,remediation_signal,Remediation-stage prompt signal,risk_difference,0.0,0.0,0.0
primary_frontloaded,ST04,4,packaging_release_signal,Packaging/release-stage prompt signal,risk_difference,0.0,0.0,0.0
primary_frontloaded,ST04,4,multistage_signal,At least two distinct stage prompt signals,risk_difference,0.25,0.0,0.25
primary_frontloaded,ST04,4,grounded_decision_trace,Grounded-decision trace proxy,risk_difference,0.25,0.0,0.25
primary_frontloaded,ST04,4,duration_min,Median observed trajectory minutes,median_ratio,8.7877,0.37770000000000004,23.26634895419645
primary_frontloaded,ST04,4,completed_substantive_actions,Median completed substantive actions,median_ratio,5.5,2.0,2.75
primary_frontloaded,ST04,4,min_per_action,Median minutes per completed substantive action,median_ratio,1.1452633333333333,0.27897916666666667,4.105193040101561
primary_frontloaded,ST05,11,verification_successful,Completed-successful verification call,risk_difference,0.36363636363636365,0.09090909090909091,0.2727272727272727
